"filename", "language", "Properties", "Groovy", "PowerShell", "Batch", "Markdown", "Java", "YAML", "MCMETA", "JSON", "comment", "blank", "total"
"d:\javaProjects\GravityEngine\targets\neoforge-1.21.1\src\main\java\cc\sighs\gravityengine\mixin\ServerGamePacketListenerImplMixin.java", "Java", 0, 0, 0, 0, 0, 229, 0, 0, 0, 62, 19, 310
"d:\javaProjects\GravityEngine\targets\neoforge-1.21.1\src\main\java\cc\sighs\gravityengine\mixin\ServerPlayerMixin.java", "Java", 0, 0, 0, 0, 0, 80, 0, 0, 0, 6, 6, 92
"d:\javaProjects\GravityEngine\targets\neoforge-1.21.1\src\main\java\cc\sighs\gravityengine\mixin\SlimeStepResponseMixin.java", "Java", 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 4, 27
"d:\javaProjects\GravityEngine\targets\neoforge-1.21.1\src\main\java\cc\sighs\gravityengine\mixin\SnowGolemRangedMixin.java", "Java", 0, 0, 0, 0, 0, 60, 0, 0, 0, 3, 9, 72
"d:\javaProjects\GravityEngine\targets\neoforge-1.21.1\src\main\java\cc\sighs\gravityengine\mixin\SprintIntentKeyMixin.java", "Java", 0, 0, 0, 0, 0, 15, 0, 0, 0, 2, 3, 20
"d:\javaProjects\GravityEngine\targets\neoforge-1.21.1\src\main\java\cc\sighs\gravityengine\mixin\ThrowableProjectileGravityMixin.java", "Java", 0, 0, 0, 0, 0, 26, 0, 0, 0, 1, 3, 30
"d:\javaProjects\GravityEngine\targets\neoforge-1.21.1\src\main\java\cc\sighs\gravityengine\mixin\ThrowableProjectileSpawnOriginMixin.java", "Java", 0, 0, 0, 0, 0, 51, 0, 0, 0, 12, 7, 70
"d:\javaProjects\GravityEngine\targets\neoforge-1.21.1\src\main\java\cc\sighs\gravityengine\mixin\ThrownTridentLoyaltyMixin.java", "Java", 0, 0, 0, 0, 0, 55, 0, 0, 0, 8, 5, 68
"d:\javaProjects\GravityEngine\targets\neoforge-1.21.1\src\main\java\cc\sighs\gravityengine\mixin\TridentItemMixin.java", "Java", 0, 0, 0, 0, 0, 97, 0, 0, 0, 10, 7, 114
"d:\javaProjects\GravityEngine\targets\neoforge-1.21.1\src\main\java\cc\sighs\gravityengine\mixin\UseOnContextMixin.java", "Java", 0, 0, 0, 0, 0, 43, 0, 0, 0, 10, 5, 58
"d:\javaProjects\GravityEngine\targets\neoforge-1.21.1\src\main\java\cc\sighs\gravityengine\mixin\WindChargeItemMixin.java", "Java", 0, 0, 0, 0, 0, 72, 0, 0, 0, 8, 6, 86
"d:\javaProjects\GravityEngine\targets\neoforge-1.21.1\src\main\java\cc\sighs\gravityengine\mixin\WitchRangedMixin.java", "Java", 0, 0, 0, 0, 0, 56, 0, 0, 0, 8, 9, 73
"d:\javaProjects\GravityEngine\targets\neoforge-1.21.1\src\main\java\cc\sighs\gravityengine\mixin\compat\sable\SableSubLevelEntityCollisionMixin.java", "Java", 0, 0, 0, 0, 0, 297, 0, 0, 0, 64, 20, 381
"d:\javaProjects\GravityEngine\targets\neoforge-1.21.1\src\main\java\cc\sighs\gravityengine\network\BodyAttitudeReplicationService.java", "Java", 0, 0, 0, 0, 0, 130, 0, 0, 0, 27, 18, 175
"d:\javaProjects\GravityEngine\targets\neoforge-1.21.1\src\main\java\cc\sighs\gravityengine\network\BodyAttitudeStateReceiver.java", "Java", 0, 0, 0, 0, 0, 52, 0, 0, 0, 3, 8, 63
"d:\javaProjects\GravityEngine\targets\neoforge-1.21.1\src\main\java\cc\sighs\gravityengine\network\ClientboundBodyAttitudeConfigPayload.java", "Java", 0, 0, 0, 0, 0, 70, 0, 0, 0, 1, 8, 79
"d:\javaProjects\GravityEngine\targets\neoforge-1.21.1\src\main\java\cc\sighs\gravityengine\network\ClientboundBodyAttitudeStatePayload.java", "Java", 0, 0, 0, 0, 0, 168, 0, 0, 0, 2, 17, 187
"d:\javaProjects\GravityEngine\targets\neoforge-1.21.1\src\main\java\cc\sighs\gravityengine\network\ClientboundPayloadDispatch.java", "Java", 0, 0, 0, 0, 0, 63, 0, 0, 0, 22, 24, 109
"d:\javaProjects\GravityEngine\targets\neoforge-1.21.1\src\main\java\cc\sighs\gravityengine\network\ClientboundPlayerBodyCommitPayload.java", "Java", 0, 0, 0, 0, 0, 136, 0, 0, 0, 9, 14, 159
"d:\javaProjects\GravityEngine\targets\neoforge-1.21.1\src\main\java\cc\sighs\gravityengine\network\GravityEngineNetwork.java", "Java", 0, 0, 0, 0, 0, 61, 0, 0, 0, 24, 13, 98
"d:\javaProjects\GravityEngine\targets\neoforge-1.21.1\src\main\java\cc\sighs\gravityengine\network\GravitySyncService.java", "Java", 0, 0, 0, 0, 0, 37, 0, 0, 0, 6, 7, 50
"d:\javaProjects\GravityEngine\targets\neoforge-1.21.1\src\main\java\cc\sighs\gravityengine\network\ServerboundBodyAttitudeStatePayload.java", "Java", 0, 0, 0, 0, 0, 77, 0, 0, 0, 3, 14, 94
"d:\javaProjects\GravityEngine\targets\neoforge-1.21.1\src\main\java\cc\sighs\gravityengine\network\ServerboundPlayerBodyResyncPayload.java", "Java", 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 3, 19
"d:\javaProjects\GravityEngine\targets\neoforge-1.21.1\src\main\java\cc\sighs\gravityengine\network\SyncGravityStatePayload.java", "Java", 0, 0, 0, 0, 0, 117, 0, 0, 0, 4, 18, 139
"d:\javaProjects\GravityEngine\targets\neoforge-1.21.1\src\main\java\cc\sighs\gravityengine\player\CharacterControlRuntime.java", "Java", 0, 0, 0, 0, 0, 184, 0, 0, 0, 55, 34, 273
"d:\javaProjects\GravityEngine\targets\neoforge-1.21.1\src\main\resources\assets\gravityengine\lang\en_us.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"d:\javaProjects\GravityEngine\targets\neoforge-1.21.1\src\main\resources\assets\gravityengine\lang\zh_cn.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"d:\javaProjects\GravityEngine\targets\neoforge-1.21.1\src\main\resources\gravityengine.mixins.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 1, 82
"d:\javaProjects\GravityEngine\targets\neoforge-1.21.1\src\main\resources\gravityengine.refmap.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\javaProjects\GravityEngine\targets\neoforge-1.21.1\src\main\resources\pack.mcmeta", "MCMETA", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"d:\javaProjects\GravityEngine\targets\neoforge-26.1\build.gradle", "Groovy", 0, 60, 0, 0, 0, 0, 0, 0, 0, 8, 13, 81
"d:\javaProjects\GravityEngine\targets\neoforge-26.1\ci.properties", "Properties", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"d:\javaProjects\GravityEngine\targets\neoforge-26.1\gradle.properties", "Properties", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\javaProjects\GravityEngine\targets\neoforge-26.1\gradle\wrapper\gradle-wrapper.properties", "Properties", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\javaProjects\GravityEngine\targets\neoforge-26.1\gradlew.bat", "Batch", 0, 0, 0, 41, 0, 0, 0, 0, 0, 30, 22, 93
"d:\javaProjects\GravityEngine\targets\neoforge-26.1\settings.gradle", "Groovy", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\javaProjects\GravityEngine\targets\neoforge-26.1\src\main\java\cc\sighs\gravityengine\GravityEngineNeoForge261.java", "Java", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 4, 10
"Total", "-", 80, 1057, 308, 205, 651, 50256, 83, 7, 110, 10398, 7495, 70650
